,UID,Product #,Product Description,Qty,Unit Price,Total Price
455,,,Combination Operation / Venting = Active (All),,,
456,,,Venting / Handing = AA,,,
457,,,Exterior Color = Dark Bronze,,,
458,,,Exterior Sash/Panel Color = Dark Bronze,,,
459,,,Interior Species = Pine,,,
460,,,Interior Finish Color = White - Painted,,,
461,,,Jamb Liner Color = White,,,
462,,,Glass Construction Type = Dual Pane,,,
463,,,Glass Option = Low-E4,,,
464,,,High Altitude Breather Tubes = No,,,
465,,,Glass Strength = Tempered,,,
466,,,Specialty Glass = Reed Vertical,,,
467,,,Gas Fill = Argon,,,
468,,,None,,,
469,,,DP/PG Upgrade = No,,,
470,,,Sash Lift Type = Hand Lift,,,
471,,,Sash Lift Style = Traditional,,,
472,,,Sash Lift Color/Finish = Antique Brass,,,
473,,,Lock Hardware Style = Traditional,,,
474,,,Number of Sash Locks = 1,,,
475,,,Lock Hardware Color/Finish = White (Factory Applied),,,
476,,,Window Opening Control Device = No,,,
477,,,Security Sensor Type = None,,,
478,,,Insect Screen Type = Half Screen,,,
479,,,Insect Screen Material = TruScene,,,
480,,,Insect Screen Color = Sandtone,,,
481,,,Bay/Bow Option Type = Standard,,,
482,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
483,,,Head and Seat Board Species = Pine,,,
484,,,Head and Seat Board Finish Color = White - Painted,,,
485,,,"Overall Wall Depth = 6 9/16""",,,
486,,,Platform Boards = Top and Bottom Platforms,,,
487,,,Angle Bay/Bow Supports = w/Cable Support System,,,
488,,,Top Auxiliary Casing = Top Auxiliary,,,
489,,,Auxiliary Casing Colors = Dark Bronze,,,
490,,,Casing Application Location = Shipped Loose,,,
491,,,Trim Board = Fibrex Cellular Trim Board,,,
492,,,Installation Material Options = No,,,
493,,,Re-Order Item = No,,,
494,,,Room Location = None,,,
495,,,"Unit 1, 3: Unit U-Factor = ---",,,
496,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
497,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
498,10,300-6,400 Series Double-Hung Bay,1,$201.80,$201.80
499,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
500,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
501,,,Dimensional Entry Type = Standard Sizes (By Center,,,
502,,,Width),,,
503,,,Installation Zip Code = 55082,,,
504,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
505,,,Search by Unit Code = No,,,
506,,,"Unit 1, 3: Frame Width = 21 5/8",,,
507,,,"Unit 1, 3: Frame Height = 68 7/8",,,
508,,,Unit 2: Frame Width = 41 5/8,,,
509,,,Unit 2: Frame Height = 68 7/8,,,
510,,,Unit Code = TW45-3456-18,,,
511,,,Combination Operation / Venting = Active (All),,,
512,,,Venting / Handing = AA,,,
513,,,Exterior Color = Dark Bronze,,,
514,,,Exterior Sash/Panel Color = Dark Bronze,,,
515,,,Interior Species = Pine,,,
516,,,Interior Finish Color = White - Painted,,,
517,,,Jamb Liner Color = White,,,
518,,,Glass Construction Type = Dual Pane,,,
519,,,Glass Option = Low-E4,,,
520,,,High Altitude Breather Tubes = No,,,
521,,,Glass Strength = Tempered,,,
522,,,Specialty Glass = Reed Vertical,,,
523,,,Gas Fill = Argon,,,
524,,,None,,,
525,,,DP/PG Upgrade = No,,,
526,,,Sash Lift Type = Hand Lift,,,
527,,,Sash Lift Style = Traditional,,,
528,,,Sash Lift Color/Finish = Antique Brass,,,
529,,,Lock Hardware Style = Traditional,,,
530,,,Number of Sash Locks = 1,,,
531,,,Lock Hardware Color/Finish = White (Factory Applied),,,
532,,,Window Opening Control Device = No,,,
533,,,Security Sensor Type = None,,,
534,,,Insect Screen Type = Half Screen,,,
535,,,Insect Screen Material = TruScene,,,
536,,,Insect Screen Color = Sandtone,,,
537,,,Bay/Bow Option Type = Standard,,,
538,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
539,,,Head and Seat Board Species = Pine,,,
540,,,Head and Seat Board Finish Color = White - Painted,,,
541,,,"Overall Wall Depth = 6 9/16""",,,
542,,,Platform Boards = Top and Bottom Platforms,,,
543,,,Angle Bay/Bow Supports = w/Cable Support System,,,
544,,,Top Auxiliary Casing = Top Auxiliary,,,
545,,,Auxiliary Casing Colors = Dark Bronze,,,
546,,,Casing Application Location = Shipped Loose,,,
547,,,Trim Board = Fibrex Cellular Trim Board,,,
548,,,Installation Material Options = No,,,
549,,,Re-Order Item = No,,,
550,,,Room Location = None,,,
551,,,"Unit 1, 3: Unit U-Factor = ---",,,
552,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
553,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
554,11,300-7,400 Series Double-Hung Bay,1,$10.50,$10.50
555,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
556,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
557,,,Dimensional Entry Type = Standard Sizes (By Center,,,
558,,,Width),,,
559,,,Installation Zip Code = 55082,,,
560,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
561,,,Search by Unit Code = No,,,
562,,,"Unit 1, 3: Frame Width = 21 5/8",,,
563,,,"Unit 1, 3: Frame Height = 68 7/8",,,
564,,,Unit 2: Frame Width = 41 5/8,,,
565,,,Unit 2: Frame Height = 68 7/8,,,
566,,,Unit Code = TW45-3456-18,,,
567,,,Combination Operation / Venting = Active (All),,,
568,,,Venting / Handing = AA,,,
569,,,Exterior Color = Dark Bronze,,,
570,,,Exterior Sash/Panel Color = Dark Bronze,,,
571,,,Interior Species = Pine,,,
572,,,Interior Finish Color = White - Painted,,,
573,,,Jamb Liner Color = White,,,
574,,,Glass Construction Type = Dual Pane,,,
575,,,Glass Option = Low-E4,,,
576,,,High Altitude Breather Tubes = No,,,
577,,,Glass Strength = Tempered,,,
578,,,Specialty Glass = Reed Vertical,,,
579,,,Gas Fill = Argon,,,
580,,,None,,,
581,,,DP/PG Upgrade = No,,,
582,,,Sash Lift Type = Hand Lift,,,
583,,,Sash Lift Style = Traditional,,,
584,,,Sash Lift Color/Finish = Antique Brass,,,
585,,,Lock Hardware Style = Traditional,,,
586,,,Number of Sash Locks = 1,,,
587,,,Lock Hardware Color/Finish = White (Factory Applied),,,
588,,,Window Opening Control Device = No,,,
589,,,Security Sensor Type = None,,,
590,,,Insect Screen Type = Half Screen,,,
591,,,Insect Screen Material = TruScene,,,
592,,,Insect Screen Color = Sandtone,,,
593,,,Bay/Bow Option Type = Standard,,,
594,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
595,,,Head and Seat Board Species = Pine,,,
596,,,Head and Seat Board Finish Color = White - Painted,,,
597,,,"Overall Wall Depth = 6 9/16""",,,
598,,,Platform Boards = Top and Bottom Platforms,,,
599,,,Angle Bay/Bow Supports = w/Cable Support System,,,
600,,,Top Auxiliary Casing = Top Auxiliary,,,
601,,,Auxiliary Casing Colors = Dark Bronze,,,
602,,,Casing Application Location = Shipped Loose,,,
603,,,Trim Board = Fibrex Cellular Trim Board,,,
604,,,Installation Material Options = No,,,
605,,,Re-Order Item = No,,,
606,,,Room Location = None,,,
607,,,"Unit 1, 3: Unit U-Factor = ---",,,
608,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
609,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
610,12,300-8,400 Series Double-Hung Bay,1,$32.00,$32.00
611,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
612,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
613,,,Dimensional Entry Type = Standard Sizes (By Center,,,
614,,,Width),,,
615,,,Installation Zip Code = 55082,,,
616,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
617,,,Search by Unit Code = No,,,
618,,,"Unit 1, 3: Frame Width = 21 5/8",,,
619,,,"Unit 1, 3: Frame Height = 68 7/8",,,
620,,,Unit 2: Frame Width = 41 5/8,,,
621,,,Unit 2: Frame Height = 68 7/8,,,
622,,,Unit Code = TW45-3456-18,,,
623,,,Combination Operation / Venting = Active (All),,,
624,,,Venting / Handing = AA,,,
625,,,Exterior Color = Dark Bronze,,,
626,,,Exterior Sash/Panel Color = Dark Bronze,,,
627,,,Interior Species = Pine,,,
628,,,Interior Finish Color = White - Painted,,,
629,,,Jamb Liner Color = White,,,
630,,,Glass Construction Type = Dual Pane,,,
631,,,Glass Option = Low-E4,,,
632,,,High Altitude Breather Tubes = No,,,
633,,,Glass Strength = Tempered,,,
634,,,Specialty Glass = Reed Vertical,,,
635,,,Gas Fill = Argon,,,
636,,,None,,,
637,,,DP/PG Upgrade = No,,,
638,,,Sash Lift Type = Hand Lift,,,
639,,,Sash Lift Style = Traditional,,,
640,,,Sash Lift Color/Finish = Antique Brass,,,
641,,,Lock Hardware Style = Traditional,,,
642,,,Number of Sash Locks = 1,,,
643,,,Lock Hardware Color/Finish = White (Factory Applied),,,
644,,,Window Opening Control Device = No,,,
645,,,Security Sensor Type = None,,,
646,,,Insect Screen Type = Half Screen,,,
647,,,Insect Screen Material = TruScene,,,
648,,,Insect Screen Color = Sandtone,,,
649,,,Bay/Bow Option Type = Standard,,,
650,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
651,,,Head and Seat Board Species = Pine,,,
652,,,Head and Seat Board Finish Color = White - Painted,,,
653,,,"Overall Wall Depth = 6 9/16""",,,
654,,,Platform Boards = Top and Bottom Platforms,,,
655,,,Angle Bay/Bow Supports = w/Cable Support System,,,
656,,,Top Auxiliary Casing = Top Auxiliary,,,
657,,,Auxiliary Casing Colors = Dark Bronze,,,
658,,,Casing Application Location = Shipped Loose,,,
659,,,Trim Board = Fibrex Cellular Trim Board,,,
660,,,Installation Material Options = No,,,
661,,,Re-Order Item = No,,,
662,,,Room Location = None,,,
663,,,"Unit 1, 3: Unit U-Factor = ---",,,
664,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
665,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
666,13,300-9,400 Series Double-Hung Bay,1,$175.00,$175.00
667,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
668,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
669,,,Dimensional Entry Type = Standard Sizes (By Center,,,
670,,,Width),,,
671,,,Installation Zip Code = 55082,,,
672,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
673,,,Search by Unit Code = No,,,
674,,,"Unit 1, 3: Frame Width = 21 5/8",,,
675,,,"Unit 1, 3: Frame Height = 68 7/8",,,
676,,,Unit 2: Frame Width = 41 5/8,,,
677,,,Unit 2: Frame Height = 68 7/8,,,
678,,,Unit Code = TW45-3456-18,,,
679,,,Combination Operation / Venting = Active (All),,,
680,,,Venting / Handing = AA,,,
681,,,Exterior Color = Dark Bronze,,,
682,,,Exterior Sash/Panel Color = Dark Bronze,,,
683,,,Interior Species = Pine,,,
684,,,Interior Finish Color = White - Painted,,,
685,,,Jamb Liner Color = White,,,
686,,,Glass Construction Type = Dual Pane,,,
687,,,Glass Option = Low-E4,,,
688,,,High Altitude Breather Tubes = No,,,
689,,,Glass Strength = Tempered,,,
690,,,Specialty Glass = Reed Vertical,,,
691,,,Gas Fill = Argon,,,
692,,,None,,,
693,,,DP/PG Upgrade = No,,,
694,,,Sash Lift Type = Hand Lift,,,
695,,,Sash Lift Style = Traditional,,,
696,,,Sash Lift Color/Finish = Antique Brass,,,
697,,,Lock Hardware Style = Traditional,,,
698,,,Number of Sash Locks = 1,,,
699,,,Lock Hardware Color/Finish = White (Factory Applied),,,
700,,,Window Opening Control Device = No,,,
701,,,Security Sensor Type = None,,,
702,,,Insect Screen Type = Half Screen,,,
703,,,Insect Screen Material = TruScene,,,
704,,,Insect Screen Color = Sandtone,,,
705,,,Bay/Bow Option Type = Standard,,,
706,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
707,,,Head and Seat Board Species = Pine,,,
708,,,Head and Seat Board Finish Color = White - Painted,,,
709,,,"Overall Wall Depth = 6 9/16""",,,
710,,,Platform Boards = Top and Bottom Platforms,,,
711,,,Angle Bay/Bow Supports = w/Cable Support System,,,
712,,,Top Auxiliary Casing = Top Auxiliary,,,
713,,,Auxiliary Casing Colors = Dark Bronze,,,
714,,,Casing Application Location = Shipped Loose,,,
715,,,Trim Board = Fibrex Cellular Trim Board,,,
716,,,Installation Material Options = No,,,
717,,,Re-Order Item = No,,,
718,,,Room Location = None,,,
719,,,"Unit 1, 3: Unit U-Factor = ---",,,
720,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
721,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
722,14,300-10,400 Series Double-Hung Bay,1,$8.00,$8.00
723,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
724,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
725,,,Dimensional Entry Type = Standard Sizes (By Center,,,
726,,,Width),,,
727,,,Installation Zip Code = 55082,,,
728,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
729,,,Search by Unit Code = No,,,
730,,,"Unit 1, 3: Frame Width = 21 5/8",,,
731,,,"Unit 1, 3: Frame Height = 68 7/8",,,
732,,,Unit 2: Frame Width = 41 5/8,,,
733,,,Unit 2: Frame Height = 68 7/8,,,
734,,,Unit Code = TW45-3456-18,,,
735,,,Combination Operation / Venting = Active (All),,,
736,,,Venting / Handing = AA,,,
737,,,Exterior Color = Dark Bronze,,,
738,,,Exterior Sash/Panel Color = Dark Bronze,,,
739,,,Interior Species = Pine,,,
740,,,Interior Finish Color = White - Painted,,,
741,,,Jamb Liner Color = White,,,
742,,,Glass Construction Type = Dual Pane,,,
743,,,Glass Option = Low-E4,,,
744,,,High Altitude Breather Tubes = No,,,
745,,,Glass Strength = Tempered,,,
746,,,Specialty Glass = Reed Vertical,,,
747,,,Gas Fill = Argon,,,
748,,,None,,,
749,,,DP/PG Upgrade = No,,,
750,,,Sash Lift Type = Hand Lift,,,
751,,,Sash Lift Style = Traditional,,,
752,,,Sash Lift Color/Finish = Antique Brass,,,
753,,,Lock Hardware Style = Traditional,,,
754,,,Number of Sash Locks = 1,,,
755,,,Lock Hardware Color/Finish = White (Factory Applied),,,
756,,,Window Opening Control Device = No,,,
757,,,Security Sensor Type = None,,,
758,,,Insect Screen Type = Half Screen,,,
759,,,Insect Screen Material = TruScene,,,
760,,,Insect Screen Color = Sandtone,,,
761,,,Bay/Bow Option Type = Standard,,,
762,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
763,,,Head and Seat Board Species = Pine,,,
764,,,Head and Seat Board Finish Color = White - Painted,,,
765,,,"Overall Wall Depth = 6 9/16""",,,
766,,,Platform Boards = Top and Bottom Platforms,,,
767,,,Angle Bay/Bow Supports = w/Cable Support System,,,
768,,,Top Auxiliary Casing = Top Auxiliary,,,
769,,,Auxiliary Casing Colors = Dark Bronze,,,
770,,,Casing Application Location = Shipped Loose,,,
771,,,Trim Board = Fibrex Cellular Trim Board,,,
772,,,Installation Material Options = No,,,
773,,,Re-Order Item = No,,,
774,,,Room Location = None,,,
775,,,"Unit 1, 3: Unit U-Factor = ---",,,
776,,,"Unit 1, 3: Unit Solar Heat Gain Coefficient (SHGC) = ---",,,
777,,,"Unit 1, 3: U.S. ENERGY STAR Certified = NoUnit 1, 3: Clear Opening Width = 17.875Unit 1, 3: Clear Opening Height = 29.75Unit 1, 3: Clear Opening Area = 3.71Unit 2: Unit U-Factor = ---Unit 2: Unit Solar Heat Gain Coefficient (SHGC) = ---Unit 2: U.S. ENERGY STAR Certified = NoUnit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 2: Clear Opening Width = 37.875Unit 2: Clear Opening Height = 29.75Unit 2: Clear Opening Area = 7.84Unit 1, 3: Sash Lift Part Number = 9159472Unit 1, 3: Insect Screen 1 Part Number = 1191228Unit 1, 3: Extension Jamb 1 Part Number = 9042346Unit 1, 3: Head and Seat Board Part Number = 9042002Unit 1, 3: Platform Boards Part Number = 1635216Unit 1, 3: Angle Bay/Bow Supports Part Number =1355020Unit 1, 3: Top Auxiliary Casing Part Number = 9071617Unit 1, 3: Trim Board Part Number = 9033388Unit 1, 3: Top Head Jamb Member Part Number =1630030Unit 2: Sash Lift Part Number = 9159472Unit 2: Insect Screen 1 Part Number = 1191136Unit 2: Extension Jamb 1 Part Number = 9042346Unit 2: Head and Seat Board Part Number = 9042002Unit 2: Platform Boards Part Number = 1635216Unit 2: Angle Bay/Bow Supports Part Number =1355020Unit 2: Top Auxiliary Casing Part Number = 9071617Unit 2: Trim Board Part Number = 9033388Unit 2: Top Head Jamb Member Part Number =1630035VerticalFactory0"" thick, 68.875"" lengthSKU = 289185Vendor Name = S/O ANDERSEN LOGISTICSVendor Number = 60509030Customer Service = (888) 888-7020Catalog Version Date = 06/18/2019",,,
778,15,300-11,400 Series Double-Hung Bay,1,$66.50,$66.50
779,,,"Overall Joined Rough Opening = 79 1/8"" x 70 3/4""",,,
780,,,"Overall Joined Unit = 80 7/16"" x 70 1/4""",,,
781,,,Dimensional Entry Type = Standard Sizes (By Center,,,
782,,,Width),,,
783,,,Installation Zip Code = 55082,,,
784,,,U.S. ENERGY STAR® Climate Zone = Northern,,,
785,,,Search by Unit Code = No,,,
786,,,"Unit 1, 3: Frame Width = 21 5/8",,,
787,,,"Unit 1, 3: Frame Height = 68 7/8",,,
788,,,Unit 2: Frame Width = 41 5/8,,,
789,,,Unit 2: Frame Height = 68 7/8,,,
790,,,Unit Code = TW45-3456-18,,,
791,,,Combination Operation / Venting = Active (All),,,
792,,,Venting / Handing = AA,,,
793,,,Exterior Color = Dark Bronze,,,
794,,,Exterior Sash/Panel Color = Dark Bronze,,,
795,,,Interior Species = Pine,,,
796,,,Interior Finish Color = White - Painted,,,
797,,,Jamb Liner Color = White,,,
798,,,Glass Construction Type = Dual Pane,,,
799,,,Glass Option = Low-E4,,,
800,,,High Altitude Breather Tubes = No,,,
801,,,Glass Strength = Tempered,,,
802,,,Specialty Glass = Reed Vertical,,,
803,,,Gas Fill = Argon,,,
804,,,None,,,
805,,,DP/PG Upgrade = No,,,
806,,,Sash Lift Type = Hand Lift,,,
807,,,Sash Lift Style = Traditional,,,
808,,,Sash Lift Color/Finish = Antique Brass,,,
809,,,Lock Hardware Style = Traditional,,,
810,,,Number of Sash Locks = 1,,,
811,,,Lock Hardware Color/Finish = White (Factory Applied),,,
812,,,Window Opening Control Device = No,,,
813,,,Security Sensor Type = None,,,
814,,,Insect Screen Type = Half Screen,,,
815,,,Insect Screen Material = TruScene,,,
816,,,Insect Screen Color = Sandtone,,,
817,,,Bay/Bow Option Type = Standard,,,
818,,,Bay/Bow/Box Extension Jamb Color = White - Painted,,,
819,,,Head and Seat Board Species = Pine,,,
820,,,Head and Seat Board Finish Color = White - Painted,,,
821,,,"Overall Wall Depth = 6 9/16""",,,
822,,,Platform Boards = Top and Bottom Platforms,,,
823,,,Angle Bay/Bow Supports = w/Cable Support System,,,
824,,,Top Auxiliary Casing = Top Auxiliary,,,
825,,,Auxiliary Casing Colors = Dark Bronze,,,
